Gene,24,48,72,96,120,Temporal_Class
UL89,,,,Nucleus,Nucleus,Translation Independent Late
UL100,,,,,,Translation Independent Late
RL12,,Golgi,ER,Golgi,ER,True Late
UL11,,,,,,True Late
UL32,Nucleus,Nucleus,Lysosome,Lysosome,Nucleus,True Late
UL41A,,,,ER,Golgi,True Late
UL42,,,,,,True Late
UL44,Nucleus,Dense cytosol,Peroxisome,Nucleus,Nucleus,True Late
UL46,,,Lysosome,Lysosome,Nucleus,True Late
UL47,,,Lysosome,Peroxisome,Nucleus,True Late
UL48,,,Lysosome,Peroxisome,Nucleus,True Late
UL52,,,Dense cytosol,Nucleus,Nucleus,True Late
UL53,,,,Peroxisome,Nucleus,True Late
UL72,,,,,,True Late
UL73,,,,,,True Late
UL74,,,Lysosome,Undefined,Lysosome,True Late
UL75,,,,,,True Late
UL87,,,,,,True Late
UL88,,Mitochondria,Mitochondria,Peroxisome,Mitochondria,True Late
UL92,,,,,,True Late
UL93,,,,Undefined,Nucleus,True Late
UL94,ER,Golgi,Undefined,Undefined,ER,True Late
UL95,,,,Undefined,Nucleus,True Late
UL150,,,,,,True Late
US29,,,,,,True Late
US30,,,,,,True Late
